CustomerKey;GeographyKey;CustomerAlternateKey;Title;FirstName;MiddleName;LastName;NameStyle;BirthYear;BirthMonth;BirthDay;MaritalStatus;Suffix;Gender;EmailAddress;YearlyIncome;TotalChildren;NumberChildrenAtHome;EnglishEducation;SpanishEducation;FrenchEducation;EnglishOccupation;SpanishOccupation;FrenchOccupation;HouseOwnerFlag;NumberCarsOwned;AddressLine1;AddressLine2;Phone;DateFirstPurchase;CommuteDistance
11000;26;AW00011000;null;Jon;V;Yang;FALSE;1987;10;6;M;null;M;jon24@adventure-works.com;90000;2;0;Bachelors;Licenciatura;Bac + 4;Professional;Profesional;Cadre;1;0;3761 N. 14th St;null;1 (11) 500 555-0162;12.07.2017;1-2 Miles
11001;37;AW00011001;null;Eugene;L;Huang;FALSE;1992;5;10;S;null;M;eugene10@adventure-works.com;60000;3;3;Bachelors;Licenciatura;Bac + 4;Professional;Profesional;Cadre;0;1;2243 W St.;null;1 (11) 500 555-0110;09.07.2017;0-1 Miles
11002;31;AW00011002;null;Ruben;null;Torres;FALSE;1987;2;9;M;null;M;ruben35@adventure-works.com;60000;3;3;Bachelors;Licenciatura;Bac + 4;Professional;Profesional;Cadre;1;1;5844 Linden Land;null;1 (11) 500 555-0184;05.07.2017;2-5 Miles
11003;11;AW00011003;null;Christy;null;Zhu;FALSE;1989;8;14;S;null;F;christy12@adventure-works.com;70000;0;0;Bachelors;Licenciatura;Bac + 4;Professional;Profesional;Cadre;0;1;1825 Village Pl.;null;1 (11) 500 555-0162;01.07.2017;5-10 Miles
11004;19;AW00011004;null;Elizabeth;null;Johnson;FALSE;1995;8;5;S;null;F;elizabeth5@adventure-works.com;80000;5;5;Bachelors;Licenciatura;Bac + 4;Professional;Profesional;Cadre;1;4;7553 Harness Circle;null;1 (11) 500 555-0131;14.07.2017;1-2 Miles
11005;22;AW00011005;null;Julio;null;Ruiz;FALSE;1992;;;S;null;M;julio1@adventure-works.com;70000;0;0;Bachelors;Licenciatura;Bac + 4;Professional;Profesional;Cadre;1;1;7305 Humphrey Drive;null;1 (11) 500 555-0151;01.07.2017;5-10 Miles
11006;8;AW00011006;null;Janet;G;Alvarez;FALSE;1992;12;2;S;null;F;janet9@adventure-works.com;70000;0;0;Bachelors;Licenciatura;Bac + 4;Professional;Profesional;Cadre;1;1;2612 Berry Dr;null;1 (11) 500 555-0184;15.07.2017;5-10 Miles
11007;40;AW00011007;null;Marco;null;Mehta;FALSE;1985;11;6;M;null;M;marco14@adventure-works.com;60000;3;3;Bachelors;Licenciatura;Bac + 4;Professional;Profesional;Cadre;1;2;942 Brook Street;null;1 (11) 500 555-0126;06.07.2017;0-1 Miles
11008;32;AW00011008;null;Rob;null;Verhoff;FALSE;1991;7;4;S;null;F;rob4@adventure-works.com;60000;4;4;Bachelors;Licenciatura;Bac + 4;Professional;Profesional;Cadre;1;3;624 Peabody Road;null;1 (11) 500 555-0164;15.07.2017;10+ Miles
11009;25;AW00011009;null;Shannon;C;Carlson;FALSE;1985;9;29;S;null;M;shannon38@adventure-works.com;70000;0;0;Bachelors;Licenciatura;Bac + 4;Professional;Profesional;Cadre;0;1;3839 Northgate Road;null;1 (11) 500 555-0110;16.07.2017;5-10 Miles
11010;22;AW00011010;null;Jacquelyn;C;Suarez;FALSE;1985;8;5;S;null;F;jacquelyn20@adventure-works.com;70000;0;0;Bachelors;Licenciatura;Bac + 4;Professional;Profesional;Cadre;0;1;7800 Corrinne Court;null;1 (11) 500 555-0169;09.07.2017;5-10 Miles
11011;22;AW00011011;null;Curtis;null;Lu;FALSE;;;;M;null;M;curtis9@adventure-works.com;60000;4;4;Bachelors;Licenciatura;Bac + 4;Professional;Profesional;Cadre;1;4;1224 Shoenic;null;1 (11) 500 555-0117;01.07.2017;10+ Miles
11012;611;AW00011012;null;Lauren;M;Walker;FALSE;1995;1;14;M;null;F;lauren41@adventure-works.com;100000;2;0;Bachelors;Licenciatura;Bac + 4;Management;Gestión;Direction;1;2;4785 Scott Street;null;717-555-0164;17.08.2019;1-2 Miles
11013;543;AW00011013;null;Ian;M;Jenkins;FALSE;1995;8;3;M;null;M;ian47@adventure-works.com;100000;2;0;Bachelors;Licenciatura;Bac + 4;Management;Gestión;Direction;1;3;7902 Hudson Ave.;null;817-555-0185;14.09.2019;0-1 Miles
11014;634;AW00011014;null;Sydney;null;Bennett;FALSE;1989;11;;S;null;F;sydney23@adventure-works.com;100000;3;0;Bachelors;Licenciatura;Bac + 4;Management;Gestión;Direction;0;3;9011 Tank Drive;null;431-555-0156;24.08.2019;1-2 Miles
11015;301;AW00011015;null;Chloe;null;Young;FALSE;2000;8;26;S;null;F;chloe23@adventure-works.com;30000;0;0;Partial College;Estudios universitarios (en curso);Baccalauréat;Skilled Manual;Obrero especializado;Technicien;0;1;244 Willow Pass Road;null;208-555-0142;21.06.2019;5-10 Miles
11016;329;AW00011016;null;Wyatt;L;Hill;FALSE;2000;10;25;M;null;M;wyatt32@adventure-works.com;30000;0;0;Partial College;Estudios universitarios (en curso);Baccalauréat;Skilled Manual;Obrero especializado;Technicien;1;1;9666 Northridge Ct.;null;135-555-0171;13.07.2019;5-10 Miles
11017;39;AW00011017;null;Shannon;null;Wang;FALSE;1965;12;24;S;null;F;shannon1@adventure-works.com;20000;4;0;High School;Educación secundaria;Bac + 2;Skilled Manual;Obrero especializado;Technicien;1;2;7330 Saddlehill Lane;null;1 (11) 500 555-0195;08.07.2017;5-10 Miles
